   50.000, 0.3926, 0.6214,  3.82385,  3.82854,    10.00,  89.85,   0.05, 
   50.000, 0.3926, 0.6214,  3.81395,  3.82854,    90.00,  89.85,   1.31, 
 specific energy segment =    40.13 W-h/kg
 specific power segment  =    48.16 W/kg
 total heat =          0.0666 W-h/m2
  
   50.000, 0.3926, 0.6214,  3.81395,  3.82854,    90.00,  89.85,   1.31, 
   50.000, 0.3926, 0.6214,  3.81343,  3.82854,    90.00,  89.85,   1.35, 
   50.001, 0.3926, 0.6214,  3.81310,  3.82853,    90.00,  89.85,   1.38, 
   50.001, 0.3925, 0.6214,  3.81282,  3.82852,    90.00,  89.85,   1.41, 
   50.002, 0.3925, 0.6214,  3.81257,  3.82851,    90.00,  89.85,   1.43, 
   50.002, 0.3925, 0.6215,  3.81234,  3.82850,    90.00,  89.85,   1.45, 
   50.003, 0.3925, 0.6215,  3.81211,  3.82849,    90.00,  89.85,   1.47, 
   50.003, 0.3925, 0.6215,  3.81188,  3.82847,    90.00,  89.85,   1.49, 
   50.004, 0.3924, 0.6215,  3.81165,  3.82846,    90.00,  89.85,   1.51, 
   50.005, 0.3924, 0.6215,  3.81142,  3.82844,    90.00,  89.85,   1.52, 
   50.005, 0.3924, 0.6215,  3.81119,  3.82843,    90.00,  89.85,   1.54, 
   50.006, 0.3923, 0.6215,  3.81095,  3.82841,    90.00,  89.85,   1.56, 
   50.007, 0.3923, 0.6216,  3.81070,  3.82838,    90.00,  89.85,   1.58, 
   50.008, 0.3923, 0.6216,  3.81045,  3.82836,    90.00,  89.85,   1.61, 
   50.009, 0.3922, 0.6216,  3.81018,  3.82834,    90.00,  89.85,   1.63, 
   50.011, 0.3922, 0.6216,  3.80991,  3.82831,    90.00,  89.85,   1.65, 
   50.012, 0.3921, 0.6217,  3.80963,  3.82828,    90.00,  89.85,   1.67, 
   50.014, 0.3921, 0.6217,  3.80933,  3.82824,    90.00,  89.85,   1.69, 
   50.015, 0.3920, 0.6217,  3.80903,  3.82820,    90.00,  89.85,   1.72, 
   50.017, 0.3919, 0.6218,  3.80871,  3.82816,    90.00,  89.85,   1.74, 
   50.019, 0.3919, 0.6218,  3.80838,  3.82812,    90.00,  89.85,   1.77, 
   50.021, 0.3918, 0.6219,  3.80803,  3.82807,    90.00,  89.85,   1.79, 
   50.024, 0.3917, 0.6219,  3.80767,  3.82801,    90.00,  89.85,   1.82, 
   50.027, 0.3916, 0.6220,  3.80730,  3.82795,    90.00,  89.85,   1.85, 
   50.029, 0.3915, 0.6221,  3.80691,  3.82788,    90.00,  89.85,   1.88, 
   50.033, 0.3914, 0.6221,  3.80651,  3.82781,    90.00,  89.85,   1.91, 
   50.036, 0.3912, 0.6222,  3.80609,  3.82773,    90.00,  89.85,   1.94, 
   50.040, 0.3911, 0.6223,  3.80566,  3.82764,    90.00,  89.85,   1.97, 
   50.045, 0.3909, 0.6224,  3.80521,  3.82754,    90.00,  89.85,   2.00, 
   50.050, 0.3907, 0.6225,  3.80474,  3.82743,    90.00,  89.85,   2.03, 
   50.055, 0.3905, 0.6226,  3.80425,  3.82731,    90.00,  89.85,   2.06, 
   50.061, 0.3903, 0.6227,  3.80374,  3.82718,    90.00,  89.85,   2.10, 
   50.067, 0.3901, 0.6229,  3.80320,  3.82704,    90.00,  89.85,   2.13, 
   50.074, 0.3898, 0.6230,  3.80264,  3.82688,    90.00,  89.85,   2.17, 
   50.082, 0.3895, 0.6232,  3.80205,  3.82670,    90.00,  89.85,   2.20, 
